
A T O M   T Y P E S

IDX	TYPE	RING
 1940    432.56951    432.57165
 1950    432.54813    432.55027
 1960    432.52660    432.52876
 1970    432.50492    432.50709
 1980    432.48313    432.48532
 1990    432.46126    432.46345
 2000    432.43925    432.44146
 2010    432.41710    432.41933
 2020    432.39486    432.39708
 2030    432.37253    432.37478
 2040    432.35007    432.35232
 2050    432.32743    432.32971
 2060    432.30454    432.30684
 2070    432.28142    432.28375
 2080    432.25800    432.26036
 2090    432.23425    432.23665
 2100    432.21028    432.21269
 2110    432.18612    432.18855
 2120    432.16168    432.16414
 2130    432.13685    432.13935
 2140    432.11169    432.11422
 2150    432.08616    432.08874
 2160    432.06034    432.06294
 2170    432.03422    432.03685
 2180    432.00770    432.01038
 2190    431.98126    431.98375
 2200    431.96120    431.96293
 2210    431.94419    431.94589
 2220    431.92715    431.92887
 2230    431.91003    431.91175
 2240    431.89276    431.89450
 2250    431.87533    431.87707
 2260    431.85777    431.85954
 2270    431.84015    431.84191
 2280    431.82243    431.82421
 2290    431.80458    431.80637
 2300    431.78658    431.78839
 2310    431.76843    431.77026
 2320    431.75025    431.75207
 2330    431.73194    431.73378
 2340    431.71349    431.71535
 2350    431.69488    431.69675
 2360    431.67617    431.67805
 2370    431.65730    431.65919
 2380    431.63843    431.64032
 2390    431.61942    431.62133
 2400    431.60012    431.60207
 2410    431.58049    431.58247
 2420    431.56073    431.56271
 2430    431.54069    431.54271
 2440    431.52041    431.52246
 2450    431.49980    431.50187
 2460    431.47890    431.48101
 2470    431.45769    431.45984
 2480    431.43615    431.43832
 2490    431.41445    431.41663
 2500    431.39248    431.39469
 2510    431.37023    431.37248
 2520    431.34745    431.34976
 2530    431.32441    431.32673
 2540    431.30211    431.30414
 2550    431.28485    431.28643
 2560    431.26927    431.27082
 2570    431.25370    431.25526
 2580    431.23806    431.23963
 2590    431.22229    431.22388
 2600    431.20638    431.20798
 2610    431.19038    431.19199
 2620    431.17421    431.17584
 2630    431.15784    431.15948
 2640    431.14136    431.14302
 2650    431.12473    431.12639
 2660    431.10806    431.10974
 2670    431.09120    431.09289
 2680    431.07415    431.07587
 2690    431.05690    431.05863
 2700    431.03947    431.04123
 2710    431.02188    431.02365
 2720    431.00401    431.00582
 2730    430.98579    430.98762
 2740    430.96733    430.96919
 2750    430.94858    430.95046
 2760    430.92952    430.93144
 2770    430.91013    430.91208
 2780    430.89040    430.89240
 2790    430.87028    430.87231
 2800    430.84991    430.85198
 2810    430.82920    430.83129
 2820    430.80822    430.81034
 2830    430.78682    430.78899
 2840    430.76490    430.76712
 2850    430.74250    430.74475
 2860    430.72103    430.72290
 2870    430.70543    430.70688
 2880    430.69095    430.69240
 2890    430.67642    430.67788
 2900    430.66170    430.66318
 2910    430.64680    430.64830
 2920    430.63173    430.63325
 2930    430.61656    430.61809
 2940    430.60128    430.60282
 2950    430.58582    430.58737
 2960    430.57032    430.57188
 2970    430.55467    430.55624
 2980    430.53883    430.54042
 2990    430.52279    430.52440
 3000    430.50654    430.50817
 3010    430.49014    430.49179
 3020    430.47347    430.47515
 3030    430.45660    430.45830
 3040    430.43945    430.44117
 3050    430.42206    430.42382
 3060    430.40436    430.40613
 3070    430.38643    430.38825
 3080    430.36820    430.37003
 3090    430.34983    430.35168
 3100    430.33129    430.33315
 3110    430.31256    430.31446
 3120    430.29334    430.29529
 3130    430.27368    430.27566
 3140    430.25373    430.25575
 3150    430.23341    430.23547
 3160    430.21262    430.21473
 3170    430.19160    430.19373
 3180    430.17041    430.17250
 3190    430.15218    430.15371
 3200    430.13772    430.13915
 3210    430.12341    430.12486
 3220    430.10897    430.11041
 3230    430.09448    430.09593
 3240    430.07998    430.08143
 3250    430.06530    430.06678
 3260    430.05049    430.05198
 3270    430.03550    430.03701
 3280    430.02034    430.02187
 3290    430.00501    430.00655
 3300    429.98950    429.99105
 3310    429.97382    429.97540
 3320    429.95800    429.95958
 3330    429.94211    429.94370
 3340    429.92616    429.92776
 3350    429.90999    429.91162
 3360    429.89356    429.89521
 3370    429.87690    429.87858
 3380    429.85990    429.86161
 3390    429.84275    429.84448
 3400    429.82532    429.82707
 3410    429.80781    429.80958
 3420    429.79001    429.79181
 3430    429.77193    429.77376
 3440    429.75364    429.75548
 3450    429.73513    429.73699
 3460    429.71646    429.71835
 3470    429.69755    429.69945
 3480    429.67833    429.68028
 3490    429.65873    429.66070
 3500    429.63878    429.64080
 3510    429.61837    429.62044
 3520    429.59770    429.59976
 3530    429.57870    429.58034
 3540    429.56409    429.56549
 3550    429.55004    429.55145
 3560    429.53588    429.53730
 3570    429.52153    429.52297
 3580    429.50704    429.50849
 3590    429.49247    429.49393
 3600    429.47789    429.47936
 3610    429.46324    429.46471
 3620    429.44842    429.44991
 3630    429.43351    429.43501
 3640    429.41848    429.41999
 3650    429.40349    429.40498
 3660    429.38845    429.38996
 3670    429.37326    429.37479
 3680    429.35786    429.35942
 3690    429.34218    429.34377
 3700    429.32622    429.32783
 3710    429.30996    429.31160
 3720    429.29354    429.29519
 3730    429.27704    429.27870
 3740    429.26023    429.26193
 3750    429.24319    429.24490
 3760    429.22597    429.22771
 3770    429.20843    429.21020
 3780    429.19068    429.19247
 3790    429.17259    429.17442
 3800    429.15416    429.15603
 3810    429.13536    429.13726
 3820    429.11625    429.11818
 3830    429.09680    429.09875
 3840    429.07705    429.07904
 3850    429.05779    429.05956
 3860    429.04302    429.04436
 3870    429.02962    429.03096
 3880    429.01614    429.01750
 3890    429.00256    429.00392
 3900    428.98887    428.99024
 3910    428.97511    428.97649
 3920    428.96132    428.96271
 3930    428.94740    428.94880
 3940    428.93338    428.93479
 3950    428.91926    428.92068
 3960    428.90505    428.90647
 3970    428.89067    428.89212
 3980    428.87611    428.87757
 3990    428.86139    428.86287
 4000    428.84638    428.84790
 4010    428.83110    428.83264
 4020    428.81566    428.81721
 4030    428.80001    428.80159
 4040    428.78422    428.78581
 4050    428.76820    428.76981
 4060    428.75199    428.75362
 4070    428.73551    428.73718
 4080    428.71869    428.72037
 4090    428.70180    428.70350
 4100    428.68474    428.68646
 4110    428.66746    428.66920
 4120    428.64991    428.65169
 4130    428.63198    428.63380
 4140    428.61365    428.61550
 4150    428.59496    428.59684
 4160    428.57596    428.57786
 4170    428.55679    428.55872
 4180    428.53758    428.53947
 4190    428.52115    428.52253
 4200    428.50803    428.50933
 4210    428.49507    428.49637
 4220    428.48197    428.48329
 4230    428.46876    428.47009
 4240    428.45540    428.45675
 4250    428.44196    428.44331
 4260    428.42847    428.42983
 4270    428.41480    428.41618
 4280    428.40107    428.40246
 4290    428.38712    428.38853
 4300    428.37302    428.37444
 4310    428.35878    428.36022
 4320    428.34446    428.34589
 4330    428.32998    428.33145
 4340    428.31531    428.31680
 4350    428.30042    428.30191
 4360    428.28542    428.28693
 4370    428.27012    428.27167
 4380    428.25456    428.25613
 4390    428.23881    428.24040
 4400    428.22285    428.22445
 4410    428.20668    428.20832
 4420    428.19039    428.19203
 4430    428.17388    428.17554
 4440    428.15719    428.15887
 4450    428.14022    428.14192
 4460    428.12297    428.12472
 4470    428.10543    428.10720
 4480    428.08765    428.08945
 4490    428.06947    428.07132
 4500    428.05109    428.05292
 4510    428.03398    428.03547
 4520    428.02088    428.02213
 4530    428.00830    428.00956
 4540    427.99557    427.99685
 4550    427.98277    427.98406
 4560    427.96986    427.97116
 4570    427.95695    427.95825
 4580    427.94399    427.94530
 4590    427.93087    427.93218
 4600    427.91760    427.91894
 4610    427.90419    427.90554
 4620    427.89061    427.89198
 4630    427.87687    427.87825
 4640    427.86302    427.86441
 4650    427.84910    427.85050
 4660    427.83512    427.83652
 4670    427.82093    427.82236
 4680    427.80644    427.80790
 4690    427.79174    427.79321
 4700    427.77694    427.77844
 4710    427.76196    427.76348
 4720    427.74663    427.74817
 4730    427.73105    427.73261
 4740    427.71520    427.71680
 4750    427.69918    427.70078
 4760    427.68305    427.68466
 4770    427.66667    427.66833
 4780    427.64995    427.65165
 4790    427.63278    427.63452
 4800    427.61528    427.61704
 4810    427.59761    427.59939
 4820    427.57992    427.58164
 4830    427.56513    427.56638
 4840    427.55303    427.55424
 4850    427.54088    427.54210
 4860    427.52859    427.52981
 4870    427.51631    427.51754
 4880    427.50394    427.50518
 4890    427.49143    427.49269
 4900    427.47881    427.48008
 4910    427.46605    427.46734
 4920    427.45311    427.45442
 4930    427.43997    427.44130
 4940    427.42661    427.42795
 4950    427.41313    427.41449
 4960    427.39947    427.40085
 4970    427.38569    427.38708
 4980    427.37169    427.37310
 4990    427.35751    427.35894
 5000    427.34314    427.34458
 5010    427.32862    427.33008
 5020    427.31389    427.31537
 5030    427.29897    427.30047
 5040    427.28393    427.28544
 5050    427.26878    427.27031
 5060    427.25326    427.25484
 5070    427.23736    427.23896
 5080    427.22131    427.22293
 5090    427.20498    427.20663
 5100    427.18835    427.19003
 5110    427.17143    427.17314
 5120    427.15456    427.15619
 5130    427.14048    427.14169
 5140    427.12875    427.12992
 5150    427.11702    427.11820
 5160    427.10522    427.10641
 5170    427.09328    427.09448
 5180    427.08116    427.08238
 5190    427.06887    427.07011
 5200    427.05637    427.05763
 5210    427.04371    427.04499
 5220    427.03084    427.03214
 5230    427.01777    427.01909
 5240    427.00451    427.00584
 5250    426.99114    426.99249
 5260    426.97765    426.97900
 5270    426.96404    426.96541
 5280    426.95031    426.95169
 5290    426.93644    426.93783
 5300    426.92241    426.92383
 5310    426.90819    426.90963
 5320    426.89377    426.89521
 5330    426.87929    426.88074
 5340    426.86470    426.86617
 5350    426.84984    426.85134
 5360    426.83470    426.83622
 5370    426.81940    426.82093
 5380    426.80393    426.80549
 5390    426.78813    426.78972
 5400    426.77222    426.77383
 5410    426.75636    426.75788
 5420    426.74329    426.74444
 5430    426.73205    426.73317
 5440    426.72082    426.72195
 5450    426.70953    426.71066
 5460    426.69818    426.69932
 5470    426.68673    426.68789
 5480    426.67511    426.67629
 5490    426.66339    426.66457
 5500    426.65161    426.65280
 5510    426.63978    426.64096
 5520    426.62787    426.62907
 5530    426.61588    426.61708
 5540    426.60378    426.60500
 5550    426.59158    426.59281
 5560    426.57915    426.58040
 5570    426.56655    426.56781
 5580    426.55385    426.55513
 5590    426.54089    426.54220
 5600    426.52774    426.52906
 5610    426.51435    426.51570
 5620    426.50086    426.50222
 5630    426.48709    426.48849
 5640    426.47318    426.47458
 5650    426.45903    426.46046
 5660    426.44473    426.44616
 5670    426.43027    426.43173
 5680    426.41548    426.41698
 5690    426.40053    426.40203
 5700    426.38533    426.38688
 5710    426.36981    426.37138
 5720    426.35421    426.35575
 5730    426.34064    426.34178
 5740    426.32987    426.33093
 5750    426.31920    426.32027
 5760    426.30840    426.30949
 5770    426.29743    426.29854
 5780    426.28633    426.28745
 5790    426.27504    426.27618
 5800    426.26357    426.26472
 5810    426.25192    426.25310
 5820    426.24015    426.24133
 5830    426.22823    426.22943
 5840    426.21619    426.21739
 5850    426.20407    426.20530
 5860    426.19171    426.19296
 5870    426.17911    426.18038
 5880    426.16632    426.16761
 5890    426.15326    426.15458
 5900    426.13998    426.14131
 5910    426.12659    426.12794
 5920    426.11292    426.11430
 5930    426.09896    426.10037
 5940    426.08473    426.08617
 5950    426.07026    426.07172
 5960    426.05553    426.05701
 5970    426.04059    426.04211
 5980    426.02523    426.02679
 5990    426.00993    426.01135
 6000    425.99860    425.99958
 6010    425.98878    425.98976
 6020    425.97892    425.97991
 6030    425.96893    425.96993
 6040    425.95885    425.95986
 6050    425.94864    425.94967
 6060    425.93828    425.93933
 6070    425.92779    425.92884
 6080    425.91718    425.91825
 6090    425.90640    425.90749
 6100    425.89549    425.89659
 6110    425.88447    425.88558
 6120    425.87335    425.87447
 6130    425.86213    425.86326
 6140    425.85074    425.85189
 6150    425.83920    425.84036
 6160    425.82752    425.82870
 6170    425.81560    425.81681
 6180    425.80353    425.80475
 6190    425.79132    425.79254
 6200    425.77903    425.78027
 6210    425.76665    425.76788
 6220    425.75420    425.75545
 6230    425.74156    425.74284
 6240    425.72873    425.73002
 6250    425.71571    425.71703
 6260    425.70248    425.70382
 6270    425.68895    425.69033
 6280    425.67521    425.67658
 6290    425.66150    425.66288
 6300    425.64753    425.64894
 6310    425.63346    425.63485
 6320    425.62111    425.62215
 6330    425.61139    425.61235
 6340    425.60179    425.60276
 6350    425.59210    425.59307
 6360    425.58236    425.58334
 6370    425.57249    425.57348
 6380    425.56252    425.56353
 6390    425.55246    425.55348
 6400    425.54233    425.54335
 6410    425.53213    425.53315
 6420    425.52182    425.52285
 6430    425.51135    425.51240
 6440    425.50072    425.50179
 6450    425.48989    425.49098
 6460    425.47890    425.47999
 6470    425.46782    425.46894
 6480    425.45655    425.45768
 6490    425.44519    425.44633
 6500    425.43364    425.43481
 6510    425.42184    425.42303
 6520    425.40987    425.41108
 6530    425.39772    425.39893
 6540    425.38553    425.38677
 6550    425.37317    425.37440
 6560    425.36068    425.36194
 6570    425.34794    425.34922
 6580    425.33499    425.33631
 6590    425.32172    425.32306
 6600    425.30825    425.30961
 6610    425.29472    425.29604
 6620    425.28373    425.28466
 6630    425.27473    425.27563
 6640    425.26570    425.26661
 6650    425.25657    425.25748
 6660    425.24734    425.24826
 6670    425.23801    425.23895
 6680    425.22859    425.22954
 6690    425.21901    425.21998
 6700    425.20929    425.21027
 6710    425.19944    425.20042
 6720    425.18951    425.19050
